名称,休止開始日,休止終了日
阿波町,2017/12/29,2018/01/03
阿波町,2018/01/23,2018/01/23
阿波町,2018/03/21,2018/03/21
阿波町,2018/03/30,2018/03/30
阿波町,2018/05/03,2018/05/03
阿波町,2018/11/23,2018/11/23
阿波町,2018/12/29,2019/01/03
市場町,2017/12/29,2018/01/03
市場町,2018/03/21,2018/03/21
市場町,2018/03/30,2018/03/30
市場町,2018/05/03,2018/05/03
市場町,2018/11/23,2018/11/23
市場町,2018/12/29,2019/01/03
土成町,2017/01/02,2017/01/05
土成町,2017/01/24,2017/01/24
吉野町一条地区,2017/01/02,2017/01/05
吉野町一条地区,2017/05/03,2017/05/03
吉野町一条地区,2017/06/30,2017/06/30
吉野町一条地区,2017/09/29,2017/09/29
吉野町一条地区,2017/11/23,2017/11/23
吉野町一条地区,2017/12/29,2017/12/29
吉野町柿原地区,2017/01/02,2017/01/05
吉野町柿原地区,2017/05/03,2017/05/03
吉野町柿原地区,2017/06/30,2017/06/30
吉野町柿原地区,2017/09/29,2017/09/29
吉野町柿原地区,2017/11/23,2017/11/23
吉野町柿原地区,2017/12/29,2017/12/29
